|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1942-03-01|29057|0|29057|497.0|0|497.0|673.0|0|673.0|30227|0|30227
1942-04-01|27691|0|27691|505.0|0|505.0|225.0|0|225.0|28421|0|28421
1942-05-01|28442|0|28442|435.0|0|435.0|239.0|0|239.0|29116|0|29116
1942-06-01|28099|0|28099|379.0|0|379.0|240.0|0|240.0|28718|0|28718
1942-07-01|27036|0|27036|370.0|0|370.0|218.0|0|218.0|27624|0|27624
1942-08-01|28230|0|28230|433.0|0|433.0|282.0|0|282.0|28945|0|28945
1942-09-01|27132|0|27132|527.0|0|527.0|253.0|0|253.0|27912|0|27912
1942-10-01|27513|0|27513|481.0|0|481.0|306.0|0|306.0|28300|0|28300
1942-11-01|26945|0|26945|449.0|0|449.0|400.0|0|400.0|27794|0|27794
1942-12-01|23930|0|23930|419.0|0|419.0|394.0|0|394.0|24743|0|24743
1943-01-01|24560|0|24560|374.0|0|374.0|171.0|0|171.0|25105|0|25105
1943-02-01|24005|0|24005|419.0|0|419.0|152.0|0|152.0|24576|0|24576
1943-03-01|26829|0|26829|417.0|0|417.0|362.0|0|362.0|27608|0|27608
1943-04-01|26501|0|26501|486.0|0|486.0|247.0|0|247.0|27234|0|27234
1943-05-01|26915|0|26915|579.0|0|579.0|340.0|0|340.0|27834|0|27834
1943-06-01|27216|0|27216|714.0|0|714.0|271.0|0|271.0|28201|0|28201
1943-07-01|28034|0|28034|735.0|0|735.0|321.0|0|321.0|29090|0|29090
1943-08-01|28700|0|28700|578.0|0|578.0|275.0|0|275.0|29553|0|29553
1943-09-01|29420|0|29420|494.0|0|494.0|215.0|0|215.0|30129|0|30129
1943-10-01|29359|0|29359|567.0|0|567.0|242.0|0|242.0|30168|0|30168
1943-11-01|28881|0|28881|487.0|0|487.0|202.0|0|202.0|29570|0|29570
1943-12-01|29954|0|29954|637.0|0|637.0|308.0|0|308.0|30899|0|30899
1944-01-01|34969|0|34969|716.0|0|716.0|303.0|0|303.0|35988|0|35988
1944-02-01|34028|0|34028|667.0|0|667.0|258.0|0|258.0|34953|0|34953
1944-03-01|36639|0|36639|686.0|0|686.0|302.0|0|302.0|37627|0|37627
