|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.ships|3|3.buoys|3.ships|4|4.ships|nreports|nreports.buoys|nreports.ships
2003-02-01|222537|211198.0|11339|89372.0|1.0|89371.0|176.0|176.0|261232.0|1.0|261231.0|8818.0|8818.0|582135|211200|370935
2003-03-01|248136|239118.0|9018|96705.0|4.0|96701.0|237.0|237.0|297704.0|4.0|297700.0|7757.0|7757.0|650539|239126|411413
2003-04-01|249408|237866.0|11542|95837.0|1.0|95836.0|70.0|70.0|192857.0|1.0|192856.0|8096.0|8096.0|546268|237868|308400
2003-05-01|315354|305098.0|10256|100164.0|5.0|100159.0|146.0|146.0|310566.0|5.0|310561.0|10906.0|10906.0|737136|305108|432028
2003-06-01|314871|305570.0|9301|95159.0|0|95159.0|158.0|158.0|307381.0|0|307381.0|8254.0|8254.0|725823|305570|420253
2003-07-01|326168|316568.0|9600|105809.0|7.0|105802.0|254.0|254.0|337284.0|7.0|337277.0|7119.0|7119.0|776634|316582|460052
2003-08-01|303438|294114.0|9324|102416.0|3.0|102413.0|100.0|100.0|333298.0|3.0|333295.0|7671.0|7671.0|746923|294120|452803
2003-09-01|305963|296624.0|9339|100778.0|3.0|100775.0|45.0|45.0|277832.0|3.0|277829.0|9761.0|9761.0|694379|296630|397749
2003-10-01|314086|302548.0|11538|102896.0|0|102896.0|36.0|36.0|316453.0|0|316453.0|11440.0|11440.0|744911|302548|442363
2003-11-01|269456|259454.0|10002|98623.0|3.0|98620.0|243.0|243.0|304972.0|3.0|304969.0|10490.0|10490.0|683784|259460|424324
2003-12-01|298334|288071.0|10263|98744.0|10.0|98734.0|250.0|250.0|312569.0|10.0|312559.0|6445.0|6445.0|716342|288091|428251
2004-01-01|308655|297058.0|11597|97256.0|0|97256.0|266.0|266.0|253984.0|0|253984.0|9937.0|9937.0|670098|297058|373040
2004-02-01|289217|281018.0|8199|96529.0|27.0|96502.0|285.0|285.0|300279.0|27.0|300252.0|12520.0|12520.0|698830|281072|417758
2004-03-01|312695|307083.0|5612|100914.0|0|100914.0|330.0|330.0|263115.0|0|263115.0|10693.0|10693.0|687747|307083|380664
2004-04-01|308885|301197.0|7688|98792.0|12.0|98780.0|356.0|356.0|219838.0|12.0|219826.0|12101.0|12101.0|639972|301221|338751
2004-05-01|324579|315858.0|8721|99027.0|8.0|99019.0|307.0|307.0|148025.0|8.0|148017.0|12731.0|12731.0|584669|315874|268795
2004-06-01|306757|299219.0|7538|99453.0|2.0|99451.0|421.0|421.0|223782.0|2.0|223780.0|10629.0|10629.0|641042|299223|341819
2004-07-01|308412|300299.0|8113|107556.0|0|107556.0|396.0|396.0|239783.0|0|239783.0|8883.0|8883.0|665030|300299|364731
2004-08-01|309005|301905.0|7100|109466.0|0|109466.0|259.0|259.0|245301.0|0|245301.0|12239.0|12239.0|676270|301905|374365
2004-09-01|290974|282969.0|8005|105097.0|0|105097.0|246.0|246.0|232167.0|0|232167.0|14321.0|14321.0|642805|282969|359836
2004-10-01|307770|299634.0|8136|108707.0|6.0|108701.0|330.0|330.0|246079.0|6.0|246073.0|12480.0|12480.0|675366|299646|375720
2004-11-01|301982|293987.0|7995|108624.0|10.0|108614.0|357.0|357.0|237485.0|10.0|237475.0|12515.0|12515.0|660963|294007|366956
2004-12-01|331765|323998.0|7767|107285.0|3.0|107282.0|516.0|516.0|236595.0|3.0|236592.0|8805.0|8805.0|684966|324004|360962
2005-01-01|338556|329148.0|9408|112432.0|0|112432.0|351.0|351.0|239632.0|0|239632.0|11255.0|11255.0|702226|329148|373078
2005-02-01|501306|492987.0|8319|108555.0|4.0|108551.0|298.0|298.0|229279.0|4.0|229275.0|12216.0|12216.0|851654|492995|358659
2005-03-01|574142|565141.0|9001|119571.0|2.0|119569.0|294.0|294.0|251508.0|2.0|251506.0|9650.0|9650.0|955165|565145|390020
2005-04-01|528921|520786.0|8135|116176.0|3.0|116173.0|218.0|218.0|246496.0|3.0|246493.0|13253.0|13253.0|905064|520792|384272
2005-05-01|585913|577008.0|8905|119863.0|52.0|119811.0|64.0|64.0|249401.0|53.0|249348.0|17146.0|17146.0|972387|577113|395274
2005-06-01|621489|612096.0|9393|119568.0|6.0|119562.0|185.0|185.0|253482.0|6.0|253476.0|22238.0|22238.0|1016962|612108|404854
2005-07-01|721190|712804.0|8386|127045.0|48.0|126997.0|509.0|509.0|273740.0|48.0|273692.0|18564.0|18564.0|1141048|712900|428148
2005-08-01|736712|728089.0|8623|126954.0|26.0|126928.0|388.0|388.0|267554.0|28.0|267526.0|15964.0|15964.0|1147572|728143|419429
2005-09-01|721509|712458.0|9051|114093.0|40.0|114053.0|613.0|613.0|248192.0|40.0|248152.0|15314.0|15314.0|1099721|712538|387183
2005-10-01|861297|853768.0|7529|115157.0|5.0|115152.0|470.0|470.0|247139.0|5.0|247134.0|14941.0|14941.0|1239004|853778|385226
2005-11-01|745047|737197.0|7850|116987.0|37.0|116950.0|525.0|525.0|245538.0|39.0|245499.0|13022.0|13022.0|1121119|737273|383846
2005-12-01|901072|894242.0|6830|111977.0|70.0|111907.0|1022.0|1022.0|243314.0|71.0|243243.0|8760.0|8760.0|1266145|894383|371762
2006-01-01|895189|889932.0|5257|110325.0|8.0|110317.0|433.0|433.0|239138.0|8.0|239130.0|8916.0|8916.0|1254001|889948|364053
2006-02-01|798416|791179.0|7237|102719.0|17.0|102702.0|471.0|471.0|221924.0|17.0|221907.0|12028.0|12028.0|1135558|791213|344345
